"PersonEmail","Armee__c","Description","DiplomeEnCours__c","FinDeCarriereMilitaire__c","FirstName","Industry","LastName","NID__c","Phone","RecordType.Name","Salutation","SelAccountAddresses__c","SelDepartementNaissance__c","SelRefGrade__c","SelRefSituationConjugale__c","SelSelection__c","Sexe__c","Type","VilleDeNaissance__c","VilleNaissanceEtranger__c","Website"
"jdoubois@toto.com","","","","2024-01-12","Jean","","DUPOND","001","","Person Account","Mr.","","","","","","Femme","","","zazaz",""
"mmartin@yahoo.fr","","","","","Martin","Banking","DUBOIS","002","","Person Account","Mr.","","","","","","Homme","","","tyjtyj",""
"pmartin@laposte.net","","","","","Pierre","","MARTIN","003","","Person Account","Mr.","","","","","","Homme","","","",""
"bmarc45@ccimp.net","","","","","Marc","","BERGER","004","","Person Account","Mr.","","","","","","Homme","","","",""
"vero34@tootle.fr","","","","","Veronique","","PROST","005","0600000000","Person Account","Ms.","","","","","","Femme","","","",""
"mm45@hotemail.fr","","","","","Martine","","MONDRU","006","0600000000","Person Account","Ms.","","","","","","Femme","","","",""
"spfg@yahoo.comm","","","","","Stéphane","","PREZ","007","","Person Account","Mr.","","","","","","Homme","","","zefzerz",""
"ml378@payoo.fr","","","","","Megane","","LOMME","008","","Person Account","Ms.","","","","","","Femme","","","","https://fr.wikipedia.org/wiki/Power_Rangers"
"mmartin609@gogla.fr","","","","","Matthias","","MARTIN","009","060606060","Person Account","Mr.","","","","","","Homme","","","",""
"polin@tutu.com","","","","","Lise","","POLIN","010","060606060","Person Account","Ms.","","","","","","Femme","","","",""
"md89@titi.fr","","","","","Marie","","DUVENT","011","060606060","Person Account","Ms.","","","","","","Femme","","","",""
